param n := 10;
param s := 6;
param t := 2;
set A :=
1 3 
1 7 
1 10 
3 1 
3 5 
3 10 
4 5 
4 8 
4 9 
4 10 
5 1 
5 2 
5 3 
5 7 
5 9 
5 10 
6 5 
7 4 
7 9 
8 3 
8 7 
8 10 
9 5 
9 8 
9 10 
10 9 
;
param: capacity:=
1 3 9.2 
1 7 9.3 
1 10 4.3 
3 1 7.1 
3 5 4.4 
3 10 6.9 
4 5 4.6 
4 8 4.7 
4 9 7.5 
4 10 7.7 
5 1 7.7 
5 2 8.3 
5 3 9.9 
5 7 5.4 
5 9 6.4 
5 10 3.6 
6 5 4.8 
7 4 3.9 
7 9 6.5 
8 3 3.1 
8 7 5.0 
8 10 6.2 
9 5 9.9 
9 8 3.6 
9 10 4.3 
10 9 4.6 
;
param: cost:=
1 3 7.7 
1 7 1.1 
1 10 8.0 
3 1 5.8 
3 5 6.3 
3 10 9.4 
4 5 2.1 
4 8 2.2 
4 9 8.3 
4 10 3.8 
5 1 5.6 
5 2 3.6 
5 3 6.8 
5 7 7.3 
5 9 3.3 
5 10 2.4 
6 5 2.3 
7 4 3.7 
7 9 8.1 
8 3 1.3 
8 7 9.6 
8 10 2.3 
9 5 4.2 
9 8 8.1 
9 10 3.0 
10 9 5.0 
;
