param n := 50;
param s := 11;
param t := 14;
set A :=
1 6 
1 14 
1 46 
2 9 
2 39 
3 17 
3 47 
4 41 
5 14 
5 22 
5 34 
6 15 
6 21 
6 32 
6 36 
7 32 
7 39 
8 4 
8 5 
8 20 
8 23 
8 31 
8 35 
9 32 
9 44 
9 48 
10 13 
10 17 
10 22 
10 34 
10 49 
11 2 
11 7 
11 16 
11 21 
11 31 
11 35 
11 36 
12 35 
12 45 
13 2 
13 22 
13 26 
13 44 
13 49 
15 7 
15 32 
16 26 
16 30 
16 45 
17 5 
17 28 
17 29 
17 49 
18 21 
18 31 
18 32 
19 4 
19 24 
20 5 
20 28 
21 29 
22 10 
22 13 
22 20 
22 21 
22 40 
22 47 
23 2 
23 3 
23 10 
23 16 
23 17 
23 39 
23 44 
24 14 
24 17 
24 21 
24 28 
24 41 
24 42 
24 50 
25 9 
25 27 
26 44 
27 30 
28 1 
28 8 
28 24 
28 25 
28 37 
29 6 
29 30 
29 33 
30 18 
30 19 
30 21 
30 31 
31 20 
31 33 
31 38 
31 46 
32 13 
32 19 
33 2 
33 49 
35 7 
35 12 
35 31 
35 42 
35 50 
36 21 
36 24 
36 43 
37 13 
37 32 
37 43 
38 31 
38 36 
38 50 
39 15 
39 36 
40 23 
41 3 
41 10 
42 33 
42 39 
44 27 
44 32 
45 5 
45 47 
46 49 
47 38 
48 5 
48 14 
48 16 
48 31 
49 5 
49 20 
49 23 
49 24 
49 26 
49 30 
49 47 
50 3 
50 47 
;
param: capacity:=
1 6 5.5 
1 14 8.7 
1 46 4.6 
2 9 4.3 
2 39 8.8 
3 17 4.3 
3 47 5.9 
4 41 5.7 
5 14 5.8 
5 22 4.9 
5 34 3.4 
6 15 5.8 
6 21 7.9 
6 32 5.4 
6 36 9.0 
7 32 3.9 
7 39 6.7 
8 4 5.3 
8 5 9.3 
8 20 6.6 
8 23 5.4 
8 31 6.8 
8 35 3.0 
9 32 5.4 
9 44 9.1 
9 48 5.1 
10 13 6.1 
10 17 3.3 
10 22 3.5 
10 34 9.7 
10 49 9.9 
11 2 5.5 
11 7 9.3 
11 16 3.5 
11 21 8.7 
11 31 3.9 
11 35 3.3 
11 36 3.8 
12 35 3.0 
12 45 8.5 
13 2 5.5 
13 22 6.9 
13 26 5.4 
13 44 4.8 
13 49 9.4 
15 7 9.9 
15 32 7.1 
16 26 9.5 
16 30 4.7 
16 45 5.6 
17 5 4.3 
17 28 6.3 
17 29 7.8 
17 49 6.4 
18 21 3.2 
18 31 3.1 
18 32 6.9 
19 4 6.9 
19 24 4.4 
20 5 8.2 
20 28 8.7 
21 29 5.2 
22 10 9.4 
22 13 9.9 
22 20 7.0 
22 21 9.8 
22 40 6.7 
22 47 3.7 
23 2 8.4 
23 3 6.9 
23 10 5.8 
23 16 5.1 
23 17 4.1 
23 39 8.4 
