param n := 10;
param s := 1;
param t := 9;
set A :=
1 5 
1 6 
1 7 
1 10 
2 4 
2 5 
2 6 
3 2 
3 4 
3 6 
3 9 
4 2 
4 3 
4 7 
4 9 
5 3 
5 7 
6 2 
6 4 
6 7 
6 8 
6 10 
7 3 
7 4 
7 8 
7 9 
8 5 
8 10 
10 4 
10 5 
;
param: capacity:=
1 5 8.0 
1 6 6.9 
1 7 6.3 
1 10 6.3 
2 4 7.7 
2 5 4.2 
2 6 3.3 
3 2 3.6 
3 4 8.5 
3 6 3.2 
3 9 6.5 
4 2 3.3 
4 3 6.7 
4 7 7.9 
4 9 4.5 
5 3 6.4 
5 7 9.8 
6 2 3.5 
6 4 9.2 
6 7 8.0 
6 8 6.9 
6 10 7.6 
7 3 5.8 
7 4 4.9 
7 8 6.2 
7 9 8.5 
8 5 6.1 
8 10 8.9 
10 4 8.2 
10 5 3.4 
;
param: cost:=
1 5 1.0 
1 6 4.3 
1 7 6.8 
1 10 1.3 
2 4 7.1 
2 5 4.5 
2 6 9.8 
3 2 9.1 
3 4 3.1 
3 6 1.9 
3 9 4.5 
4 2 3.5 
4 3 6.8 
4 7 9.2 
4 9 6.9 
5 3 6.8 
5 7 7.7 
6 2 8.7 
6 4 8.3 
6 7 3.8 
6 8 5.1 
6 10 3.5 
7 3 8.9 
7 4 2.8 
7 8 3.3 
7 9 1.8 
8 5 4.8 
8 10 2.0 
10 4 6.5 
10 5 9.9 
;
