param n := 10;
param s := 6;
param t := 3;
set A :=
1 3 
1 5 
1 7 
2 9 
2 10 
4 5 
4 9 
5 1 
5 3 
5 9 
6 2 
6 4 
6 7 
6 10 
7 5 
8 1 
8 3 
8 7 
8 9 
9 2 
9 5 
9 10 
10 5 
10 7 
10 8 
10 9 
;
param: capacity:=
1 3 5.4 
1 5 9.3 
1 7 5.6 
2 9 6.5 
2 10 5.1 
4 5 5.8 
4 9 9.1 
5 1 5.0 
5 3 9.2 
5 9 7.2 
6 2 3.0 
6 4 5.8 
6 7 4.8 
6 10 7.1 
7 5 4.6 
8 1 9.8 
8 3 5.6 
8 7 5.5 
8 9 4.0 
9 2 7.5 
9 5 7.4 
9 10 5.9 
10 5 7.0 
10 7 7.1 
10 8 6.4 
10 9 6.3 
;
param: cost:=
1 3 4.4 
1 5 7.1 
1 7 1.3 
2 9 7.8 
2 10 8.3 
4 5 8.8 
4 9 8.7 
5 1 1.6 
5 3 3.3 
5 9 2.9 
6 2 6.5 
6 4 7.1 
6 7 5.5 
6 10 9.5 
7 5 4.8 
8 1 6.2 
8 3 9.1 
8 7 7.4 
8 9 9.4 
9 2 8.2 
9 5 9.0 
9 10 6.2 
10 5 6.6 
10 7 9.9 
10 8 6.0 
10 9 3.2 
;
