param n := 10;
param s := 10;
param t := 4;
set A :=
1 3 
1 5 
2 5 
2 7 
3 1 
3 2 
5 4 
5 6 
6 4 
6 7 
7 1 
7 6 
8 1 
8 6 
8 7 
8 9 
9 3 
10 1 
10 2 
10 3 
10 6 
10 7 
10 8 
10 9 
;
param: capacity:=
1 3 3.4 
1 5 6.8 
2 5 9.4 
2 7 8.2 
3 1 9.6 
3 2 4.1 
5 4 8.8 
5 6 5.2 
6 4 6.3 
6 7 9.8 
7 1 7.0 
7 6 5.2 
8 1 4.3 
8 6 8.4 
8 7 3.3 
8 9 6.3 
9 3 5.9 
10 1 8.8 
10 2 5.0 
10 3 6.7 
10 6 7.9 
10 7 3.1 
10 8 8.6 
10 9 7.3 
;
param: cost:=
1 3 4.5 
1 5 7.7 
2 5 6.5 
2 7 2.6 
3 1 8.6 
3 2 9.5 
5 4 4.4 
5 6 10.0 
6 4 8.4 
6 7 9.2 
7 1 4.7 
7 6 9.6 
8 1 2.5 
8 6 7.2 
8 7 2.3 
8 9 3.6 
9 3 6.6 
10 1 7.0 
10 2 4.8 
10 3 9.1 
10 6 5.9 
10 7 7.1 
10 8 7.9 
10 9 1.9 
;
