param n := 10;
param s := 6;
param t := 7;
set A :=
1 2 
1 10 
2 1 
2 3 
3 1 
3 4 
3 7 
3 9 
4 1 
4 7 
5 2 
5 4 
5 8 
6 4 
6 10 
8 2 
8 5 
8 7 
9 1 
9 3 
9 4 
9 5 
9 7 
9 10 
10 1 
10 2 
10 4 
10 7 
10 9 
;
param: capacity:=
1 2 8.6 
1 10 6.5 
2 1 10.0 
2 3 3.7 
3 1 5.7 
3 4 9.6 
3 7 6.4 
3 9 4.1 
4 1 3.8 
4 7 7.3 
5 2 7.0 
5 4 3.1 
5 8 6.8 
6 4 4.9 
6 10 6.3 
8 2 4.9 
8 5 8.9 
8 7 3.4 
9 1 9.4 
9 3 8.0 
9 4 7.5 
9 5 9.9 
9 7 5.8 
9 10 7.4 
10 1 10.0 
10 2 6.3 
10 4 5.1 
10 7 6.1 
10 9 5.4 
;
param: cost:=
1 2 2.3 
1 10 1.8 
2 1 6.6 
2 3 3.9 
3 1 4.5 
3 4 9.2 
3 7 5.8 
3 9 6.2 
4 1 7.9 
4 7 5.7 
5 2 8.0 
5 4 1.2 
5 8 3.3 
6 4 5.9 
6 10 4.9 
8 2 3.4 
8 5 4.7 
8 7 8.8 
9 1 7.2 
9 3 3.8 
9 4 3.2 
9 5 3.9 
9 7 4.8 
9 10 9.0 
10 1 5.1 
10 2 5.7 
10 4 5.7 
10 7 8.4 
10 9 9.2 
;
