param n := 10;
param s := 4;
param t := 9;
set A :=
1 3 
1 6 
2 1 
2 5 
3 2 
3 8 
4 1 
4 2 
4 3 
4 7 
4 10 
5 1 
5 2 
5 9 
5 10 
6 2 
6 5 
7 2 
7 6 
8 1 
8 2 
8 5 
8 7 
8 9 
10 6 
10 7 
;
param: capacity:=
1 3 6.7 
1 6 6.9 
2 1 6.8 
2 5 3.0 
3 2 6.1 
3 8 8.4 
4 1 9.3 
4 2 9.8 
4 3 8.6 
4 7 5.9 
4 10 3.6 
5 1 8.1 
5 2 7.0 
5 9 8.8 
5 10 6.4 
6 2 9.8 
6 5 3.3 
7 2 7.3 
7 6 3.1 
8 1 3.4 
8 2 6.2 
8 5 8.8 
8 7 6.0 
8 9 6.2 
10 6 8.6 
10 7 4.0 
;
param: cost:=
1 3 4.6 
1 6 6.5 
2 1 1.4 
2 5 5.2 
3 2 5.9 
3 8 1.4 
4 1 7.6 
4 2 2.8 
4 3 5.2 
4 7 1.9 
4 10 8.1 
5 1 4.2 
5 2 6.9 
5 9 5.9 
5 10 3.1 
6 2 8.2 
6 5 3.3 
7 2 7.7 
7 6 1.7 
8 1 8.8 
8 2 4.1 
8 5 7.0 
8 7 2.2 
8 9 4.0 
10 6 5.7 
10 7 1.9 
;
