param n := 10;
param s := 5;
param t := 8;
set A :=
1 2 
1 7 
1 10 
2 3 
2 4 
2 6 
3 1 
3 4 
3 9 
4 1 
4 3 
4 10 
5 2 
5 3 
5 4 
5 6 
6 7 
6 8 
7 1 
7 3 
7 9 
9 4 
9 8 
10 2 
10 7 
10 8 
;
param: capacity:=
1 2 4.1 
1 7 8.1 
1 10 9.1 
2 3 4.0 
2 4 6.0 
2 6 5.7 
3 1 9.4 
3 4 7.1 
3 9 8.2 
4 1 9.0 
4 3 3.5 
4 10 8.5 
5 2 5.1 
5 3 8.0 
5 4 8.6 
5 6 6.7 
6 7 9.1 
6 8 4.9 
7 1 9.2 
7 3 3.6 
7 9 3.4 
9 4 3.7 
9 8 5.8 
10 2 4.8 
10 7 6.4 
10 8 5.7 
;
param: cost:=
1 2 1.5 
1 7 9.6 
1 10 8.7 
2 3 2.7 
2 4 7.4 
2 6 1.8 
3 1 1.7 
3 4 3.1 
3 9 8.2 
4 1 3.8 
4 3 6.6 
4 10 8.3 
5 2 4.2 
5 3 3.4 
5 4 1.6 
5 6 7.3 
6 7 5.7 
6 8 2.2 
7 1 5.1 
7 3 1.5 
7 9 8.9 
9 4 2.6 
9 8 7.7 
10 2 8.0 
10 7 9.3 
10 8 8.9 
;
